name,depth,trees,status,accuracy_pct,accuracy_xgboost_pct,convert_mismatches,luts,ff,bram,dsp,device_pct,latency_cycles,ii,wns,fmax_mhz,latency_ns,precision,part,clock_ns
gbdt_d3_n10,3,10,ok,73.6355,73.6789,1271,3774,962,0,0,18.14,3,1,7.905,477.3,6.29,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d3_n20,3,20,ok,74.2373,74.2548,1018,7602,3013,0,0,36.55,5,1,7.905,477.3,10.48,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d3_n40,3,40,ok,74.8753,74.9042,1073,15363,7940,0,0,73.86,7,1,7.905,477.3,14.67,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d3_n80,3,80,synth-failed,75.5036,75.5145,1106,,,,,,8,1,,,,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d4_n5,4,5,ok,73.6349,73.6699,1040,4019,635,0,0,19.32,2,1,7.905,477.3,4.19,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d4_n10,4,10,ok,74.1861,74.2151,1009,8005,1418,0,0,38.49,3,1,7.905,477.3,6.29,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d4_n20,4,20,ok,74.7512,74.7819,1112,16052,3943,0,0,77.17,5,1,7.905,477.3,10.48,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d4_n40,4,40,synth-failed,75.4096,75.453,1090,,,,,,7,1,,,,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d5_n5,5,5,ok,74.3602,74.3934,848,7836,5508,0,0,37.67,5,1,7.905,477.3,10.48,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d5_n10,5,10,ok,74.7681,74.7777,911,15605,11838,0,0,75.02,6,1,7.905,477.3,12.57,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d5_n20,5,20,synth-failed,75.2584,75.2717,1007,,,,,,9,1,,,,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d6_n3,6,3,ok,74.4994,74.5277,1065,9376,5733,0,0,45.08,8,1,7.905,477.3,16.76,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d6_n5,6,5,ok,74.7964,74.8175,940,15898,9867,0,0,76.43,8,1,7.905,477.3,16.76,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
gbdt_d6_n10,6,10,synth-failed,75.0934,75.0976,982,,,,,,9,1,,,,"ap_fixed<18,8>",xc7a35tcpg236-1,10.0
