name,label,status,nodes,n,z,encoding,layers,pipe,clock_ns,accuracy_pct,dwn_core_luts,thermometer_encoder_luts,dwn_top_luts,dwn_top_ff,dwn_top_bram,dwn_top_dsp,device_pct,dwn_top_fmax_mhz,latency,predicted_board_luts,predicted_extrapolated,impl,seconds
n2_z200_distributive_w200_q16.12_p1111_c10,1x200 n=2,ok,200,2,200,distributive,[200],1111,10.0,74.0639,450,1910,2319,476,0,0,11.15,124.5,4,2926,True,True,201.7
n2_z200_distributive_w360_q16.12_p1111_c10,1x360 n=2,ok,360,2,200,distributive,[360],1111,10.0,74.6349,852,2839,3635,758,0,0,17.48,117.7,4,4953,True,True,239.9
n4_z200_distributive_w200_q16.12_p1111_c10,1x200 n=4,ok,200,4,200,distributive,[200],1111,10.0,75.0271,466,3352,3795,668,0,0,18.25,126.8,4,4956,True,True,218.8
n4_z200_distributive_w360_q16.12_p1111_c10,1x360 n=4,ok,360,4,200,distributive,[360],1111,10.0,75.4711,867,5294,6129,1085,0,0,29.47,115.2,4,8600,True,True,284.2
n6_z100_distributive_w200_q16.12_p1111_c10,1x200 z=100,ok,200,6,100,distributive,[200],1111,10.0,75.253,466,3692,4158,714,0,0,19.99,114.8,4,6979,True,True,221.0
n6_z100_distributive_w360_q16.12_p1111_c10,1x360 z=100,ok,360,6,100,distributive,[360],1111,10.0,75.753,868,5553,6421,1125,0,0,30.87,113.9,4,12240,True,True,262.2
n6_z200_distributive_w100_q16.12_p1111_c10,1x100,ok,100,6,200,distributive,[100],1111,10.0,74.806,206,2608,2814,469,0,0,13.53,139.9,4,3700,False,True,410.6
n6_z200_distributive_w100x100_q16.12_p1111_c10,2x100,ok,200,6,200,distributive,"[100, 100]",1111,10.0,74.4163,299,2820,2956,568,0,0,14.21,155.5,5,3800,False,True,210.4
n6_z200_distributive_w1200_q16.12_p1111_c10,1x1200,ok,1200,6,200,distributive,[1200],1111,10.0,76.303,2868,12824,16061,2903,0,0,77.22,100.7,4,18159,False,True,500.8
n6_z200_distributive_w120x120x120_q16.12_p1111_c10,3x120,ok,360,6,200,distributive,"[120, 120, 120]",1111,10.0,74.4855,516,3271,3658,788,0,0,17.59,152.3,6,4596,False,True,246.0
n6_z200_distributive_w180x180_q16.12_p1111_c10,2x180,ok,360,6,200,distributive,"[180, 180]",1111,10.0,75.0994,559,4410,4281,852,0,0,20.58,114.3,5,6501,False,True,257.1
n6_z200_distributive_w200_q16.12_p1111_c10,1x200,ok,200,6,200,distributive,[200],1111,10.0,75.3193,466,4570,5036,829,0,0,24.21,113.9,4,6979,False,True,243.7
